SaleID,Data,ProductID,CustomerID,SellerID,Quantidade,PrecoUnitario,DescontoPct,CustoUnitario,Receita,CustoTotal,Lucro,Canal,FormaPagamento,Regiao,Estado
1,2024-01-01,57,27,14,1,258.27,0.0596185442926386,211.34,242.87,211.34,31.53,Loja Física,Crédito,Sul,RS
2,2024-01-01,6,200,11,1,271.2,0.04421726287060116,220.14,259.21,220.14,39.07,E-commerce,Crédito,Nordeste,BA
3,2024-01-01,44,152,11,1,252.68,0.03349155625663678,161.02,244.22,161.02,83.2,Representante,Crédito,Norte,AM
4,2024-01-01,49,62,1,1,1162.33,0.008907910610663247,727.8,1151.98,727.8,424.18,Representante,Crédito,Nordeste,CE
5,2024-01-01,3,113,5,1,72.57,0.021347814389039734,42.48,71.02,42.48,28.54,Televendas,Crédito,Norte,PA
6,2024-01-01,2,220,6,1,1001.16,0.0014704223054889491,652.08,999.69,652.08,347.61,E-commerce,Crédito,Sul,RS
7,2024-01-01,2,53,12,1,1052.7,0.05463556753432221,652.08,995.19,652.08,343.11,Representante,Crédito,Sul,SC
8,2024-01-01,55,203,8,1,531.99,0.08768031437865356,318.14,485.34,318.14,167.2,Loja Física,Boleto,Sudeste,ES
9,2024-01-01,52,98,6,1,365.22,0.04086977382484872,239.93,350.29,239.93,110.36,Loja Física,Crédito,Sul,PR
10,2024-01-01,9,124,11,1,2427.16,0.06993048691767602,1643.53,2257.43,1643.53,613.9,Loja Física,Pix,Centro-Oeste,MT
11,2024-01-01,59,164,3,1,4837.92,0.051930577129897654,2982.45,4586.68,2982.45,1604.23,E-commerce,Crédito,Sul,PR
12,2024-01-01,7,52,9,1,5337.04,0.02678125246273873,3103.15,5194.11,3103.15,2090.96,E-commerce,Crédito,Nordeste,PE
13,2024-01-01,1,11,12,1,2655.99,0.05113033296607523,2066.57,2520.19,2066.57,453.62,Representante,Crédito,Sudeste,RJ
14,2024-01-01,42,99,7,1,335.78,0.05614285508564856,187.46,316.93,187.46,129.47,Loja Física,Crédito,Nordeste,BA
15,2024-01-01,60,113,2,6,456.58,0.04003192730692345,311.51,2629.81,1869.06,760.75,E-commerce,Boleto,Norte,PA
16,2024-01-01,32,9,9,1,1411.67,0.03593969346466372,874.92,1360.94,874.92,486.02,E-commerce,Pix,Nordeste,CE
17,2024-01-01,24,54,8,2,118.63,0.05205374930925423,77.63,224.91,155.26,69.65,Loja Física,Crédito,Nordeste,CE
18,2024-01-01,35,112,14,3,347.63,0.0,279.36,1042.89,838.08,204.81,E-commerce,Boleto,Centro-Oeste,MT
19,2024-01-01,35,208,13,1,330.13,0.045741692074849044,279.36,315.03,279.36,35.67,E-commerce,Boleto,Sudeste,ES
20,2024-01-01,21,48,4,1,161.73,0.09916827672426597,103.58,145.69,103.58,42.11,E-commerce,Boleto,Nordeste,PE
21,2024-01-01,33,176,12,1,265.94,0.07440774484076393,198.02,246.15,198.02,48.13,Loja Física,Débito,Sudeste,ES
22,2024-01-01,30,38,6,1,503.2,0.06654366498072048,312.5,469.72,312.5,157.22,Televendas,Crédito,Sudeste,RJ
23,2024-01-01,34,21,14,1,253.92,0.03788679902929659,181.33,244.3,181.33,62.97,E-commerce,Crédito,Sudeste,ES
24,2024-01-01,60,61,3,1,454.55,0.033811974102290455,311.51,439.18,311.51,127.67,E-commerce,Pix,Norte,AM
25,2024-01-01,46,117,6,1,127.78,0.05854342174686254,90.49,120.3,90.49,29.81,Televendas,Débito,Centro-Oeste,MT
26,2024-01-01,35,188,1,1,330.66,0.018062053368744946,279.36,324.69,279.36,45.33,Loja Física,Crédito,Sul,RS
27,2024-01-01,33,67,2,1,291.79,0.037706347594576736,198.02,280.79,198.02,82.77,E-commerce,Crédito,Centro-Oeste,GO
28,2024-01-01,40,174,8,1,683.39,0.07779205656293182,424.92,630.23,424.92,205.31,E-commerce,Crédito,Norte,PA
29,2024-01-01,27,130,10,1,1823.54,0.05107604104069806,1324.8,1730.4,1324.8,405.6,E-commerce,Crédito,Sudeste,ES
30,2024-01-01,48,39,13,1,4382.14,0.019790135608448084,3254.06,4295.42,3254.06,1041.36,E-commerce,Crédito,Norte,PA
31,2024-01-01,24,13,12,1,124.01,0.030146127454812644,77.63,120.27,77.63,42.64,Representante,Crédito,Norte,AM
32,2024-01-01,1,8,14,1,2573.99,0.045179384409865346,2066.57,2457.7,2066.57,391.13,Loja Física,Crédito,Sudeste,RJ
33,2024-01-01,28,98,2,1,1536.37,0.05402760888435382,1292.14,1453.36,1292.14,161.22,E-commerce,Pix,Sul,PR
34,2024-01-01,58,63,14,1,1077.61,0.03160397425081629,848.57,1043.55,848.57,194.98,E-commerce,Boleto,Nordeste,CE
35,2024-01-01,52,170,6,1,311.99,0.08852051733668004,239.93,284.37,239.93,44.44,Televendas,Crédito,Centro-Oeste,MT
36,2024-01-01,8,53,12,1,256.44,0.034329171791639496,159.8,247.64,159.8,87.84,Televendas,Débito,Sul,SC
37,2024-01-01,45,116,14,1,2448.29,0.0465753195520975,1511.91,2334.26,1511.91,822.35,Loja Física,Crédito,Norte,PA
38,2024-01-01,13,114,12,1,1629.62,0.07027565428493752,1224.05,1515.1,1224.05,291.05,Representante,Crédito,Nordeste,CE
39,2024-01-01,19,92,10,1,1071.19,0.04731510388340243,597.22,1020.51,597.22,423.29,E-commerce,Pix,Nordeste,BA
40,2024-01-01,53,129,10,2,3830.29,0.07313741871791804,2585.66,7100.3,5171.32,1928.98,E-commerce,Pix,Norte,PA
